support,itemsets
0.020397280362618318,frozenset({'almonds'})
0.008932142381015865,frozenset({'antioxydant juice'})
0.004666044527396347,frozenset({'asparagus'})
0.03332888948140248,frozenset({'avocado'})
0.004532728969470737,frozenset({'babies food'})
0.008665511265164644,frozenset({'bacon'})
0.010798560191974404,frozenset({'barbecue sauce'})
0.014264764698040262,frozenset({'black tea'})
0.009198773496867084,frozenset({'blueberries'})
0.011465137981602452,frozenset({'body spray'})
0.03372883615517931,frozenset({'brownies'})
0.008665511265164644,frozenset({'bug spray'})
0.005865884548726837,frozenset({'burger sauce'})
0.0871883748833489,frozenset({'burgers'})
0.030129316091187842,frozenset({'butter'})
0.08105585921877083,frozenset({'cake'})
0.009732035728569524,frozenset({'candy bars'})
0.01533128916144514,frozenset({'carrots'})
0.004799360085321957,frozenset({'cauliflower'})
0.025729902679642713,frozenset({'cereals'})
0.04679376083188908,frozenset({'champagne'})
0.05999200106652446,frozenset({'chicken'})
0.0061325156645780565,frozenset({'chili'})
0.1638448206905746,frozenset({'chocolate'})
0.010531929076123183,frozenset({'cider'})
0.008398880149313425,frozenset({'clothes accessories'})
0.08038928142914278,frozenset({'cookies'})
0.0510598586855086,frozenset({'cooking oil'})
0.004799360085321957,frozenset({'corn'})
0.03186241834422077,frozenset({'cottage cheese'})
0.013198240234635382,frozenset({'eggplant'})
0.17970937208372217,frozenset({'eggs'})
0.027063058258898813,frozenset({'energy bar'})
0.026663111585121985,frozenset({'energy drink'})
0.0793227569657379,frozenset({'escalope'})
0.011998400213304892,frozenset({'extra dark chocolate'})
0.009065457938941474,frozenset({'flax seed'})
0.1709105452606319,frozenset({'french fries'})
0.022530329289428077,frozenset({'french wine'})
0.043060925209972005,frozenset({'fresh bread'})
0.022263698173576856,frozenset({'fresh tuna'})
0.013598186908412212,frozenset({'fromage blanc'})
0.06332489001466471,frozenset({'frozen smoothie'})
0.09532062391681109,frozenset({'frozen vegetables'})
0.006932409012131715,frozenset({'gluten free bar'})
0.0523930142647647,frozenset({'grated cheese'})
0.008665511265164644,frozenset({'green beans'})
0.009065457938941474,frozenset({'green grapes'})
0.13211571790427942,frozenset({'green tea'})
0.09825356619117451,frozenset({'ground beef'})
0.013464871350486601,frozenset({'gums'})
0.026529796027196375,frozenset({'ham'})
0.005199306759098787,frozenset({'hand protein bar'})
