antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset(['eggs', 'green tea'])",frozenset(['chocolate']),0.025463271563791495,0.1638448206905746,0.005465937874950006,0.21465968586387432,1.3101401982627512,0.001293912711385182,1.0647042616540017
"frozenset(['eggs', 'chocolate'])",frozenset(['green tea']),0.03319557392347687,0.13211571790427942,0.005465937874950006,0.1646586345381526,1.2463213094557848,0.0010802807948052818,1.0389576261626656
"frozenset(['green tea', 'chocolate'])",frozenset(['eggs']),0.023463538194907346,0.17970937208372217,0.005465937874950006,0.23295454545454544,1.296284900188832,0.0012493201590807754,1.069415929727888
frozenset(['eggs']),"frozenset(['green tea', 'chocolate'])",0.17970937208372217,0.023463538194907346,0.005465937874950006,0.03041543026706231,1.2962849001888317,0.0012493201590807754,1.007169969788267
frozenset(['green tea']),"frozenset(['eggs', 'chocolate'])",0.13211571790427942,0.03319557392347687,0.005465937874950006,0.04137235116044399,1.2463213094557848,0.0010802807948052818,1.0085296697282469
frozenset(['chocolate']),"frozenset(['eggs', 'green tea'])",0.1638448206905746,0.025463271563791495,0.005465937874950006,0.03336045565500406,1.3101401982627512,0.001293912711385182,1.0081697300068184
"frozenset(['cake', 'mineral water'])",frozenset(['spaghetti']),0.027463004932675644,0.17411011865084655,0.007065724570057326,0.25728155339805825,1.4776944349455092,0.0022841375227203855,1.1119824546269648
"frozenset(['cake', 'spaghetti'])",frozenset(['mineral water']),0.018130915877882948,0.23836821757099053,0.007065724570057326,0.3897058823529412,1.6348902816160022,0.002743890469316797,1.247974968799341
"frozenset(['mineral water', 'spaghetti'])",frozenset(['cake']),0.05972536995067324,0.08105585921877083,0.007065724570057326,0.11830357142857144,1.459531396851504,0.0022246333915465497,1.0422455065063054
frozenset(['cake']),"frozenset(['mineral water', 'spaghetti'])",0.08105585921877083,0.05972536995067324,0.007065724570057326,0.08717105263157895,1.459531396851504,0.0022246333915465497,1.030066621747731
frozenset(['mineral water']),"frozenset(['cake', 'spaghetti'])",0.23836821757099053,0.018130915877882948,0.007065724570057326,0.0296420581655481,1.6348902816160022,0.002743890469316797,1.0118627794872308
frozenset(['spaghetti']),"frozenset(['cake', 'mineral water'])",0.17411011865084655,0.027463004932675644,0.007065724570057326,0.04058192955589587,1.4776944349455092,0.0022841375227203855,1.0136738352417602
"frozenset(['mineral water', 'nan'])",frozenset(['frozen vegetables']),0.23823490201306494,0.09532062391681109,0.03572856952406346,0.14997202014549524,1.5733428295263774,0.013019870025417758,1.0642936438845678
"frozenset(['frozen vegetables', 'nan'])",frozenset(['mineral water']),0.09532062391681109,0.23836821757099053,0.03572856952406346,0.37482517482517486,1.57246288387228,0.013007162303258473,1.2182700770396908
frozenset(['mineral water']),"frozenset(['frozen vegetables', 'nan'])",0.23836821757099053,0.09532062391681109,0.03572856952406346,0.1498881431767338,1.57246288387228,0.013007162303258473,1.0641886344978566
frozenset(['frozen vegetables']),"frozenset(['mineral water', 'nan'])",0.09532062391681109,0.23823490201306494,0.03572856952406346,0.37482517482517486,1.5733428295263774,0.013019870025417758,1.2184833222833524
"frozenset(['pancakes', 'milk'])",frozenset(['chocolate']),0.01653112918277563,0.1638448206905746,0.004799360085321957,0.29032258064516125,1.7719362712932094,0.0020908201885573587,1.1782186617541903
"frozenset(['pancakes', 'chocolate'])",frozenset(['milk']),0.01986401813091588,0.12958272230369283,0.004799360085321957,0.24161073825503354,1.86452895848869,0.0022253265400279647,1.1477183573163696
"frozenset(['milk', 'chocolate'])",frozenset(['pancakes']),0.03212904946007199,0.09505399280095987,0.004799360085321957,0.14937759336099585,1.5715025635355258,0.0017453656492425907,1.0638633548047254
frozenset(['pancakes']),"frozenset(['milk', 'chocolate'])",0.09505399280095987,0.03212904946007199,0.004799360085321957,0.05049088359046283,1.571502563535526,0.0017453656492425907,1.0193382388995105
frozenset(['milk']),"frozenset(['pancakes', 'chocolate'])",0.12958272230369283,0.01986401813091588,0.004799360085321957,0.037037037037037035,1.8645289584886897,0.0022253265400279647,1.0178335196332795
frozenset(['chocolate']),"frozenset(['pancakes', 'milk'])",0.1638448206905746,0.01653112918277563,0.004799360085321957,0.029292107404393815,1.7719362712932096,0.0020908201885573587,1.013146053842723
"frozenset(['olive oil', 'nan'])",frozenset(['turkey']),0.0657245700573257,0.06252499666711105,0.005332622317024397,0.08113590263691683,1.2976554492100496,0.0012231937932428013,1.0202542530753074
"frozenset(['turkey', 'nan'])",frozenset(['olive oil']),0.06252499666711105,0.0658578856152513,0.005332622317024397,0.08528784648187634,1.2950286163169118,0.0012148582384278288,1.0212416122294805
frozenset(['olive oil']),"frozenset(['turkey', 'nan'])",0.0658578856152513,0.06252499666711105,0.005332622317024397,0.08097165991902834,1.2950286163169118,0.0012148582384278288,1.020071919926095
frozenset(['turkey']),"frozenset(['olive oil', 'nan'])",0.06252499666711105,0.0657245700573257,0.005332622317024397,0.08528784648187634,1.2976554492100496,0.0012231937932428013,1.0213873581424575
"frozenset(['pancakes', 'mineral water'])",frozenset(['ground beef']),0.03372883615517931,0.09825356619117451,0.007465671243834155,0.22134387351778653,2.2527820831165766,0.004151692808109965,1.1580804454499127
"frozenset(['pancakes', 'ground beef'])",frozenset(['mineral water']),0.014531395813891481,0.23836821757099053,0.007465671243834155,0.5137614678899083,2.1553270529318804,0.00400184832485829,1.566374797825699
"frozenset(['mineral water', 'ground beef'])",frozenset(['pancakes']),0.040927876283162246,0.09505399280095987,0.007465671243834155,0.18241042345276873,1.9190190551461686,0.003575313186255875,1.106846311594045
frozenset(['pancakes']),"frozenset(['mineral water', 'ground beef'])",0.09505399280095987,0.040927876283162246,0.007465671243834155,0.0785413744740533,1.9190190551461686,0.003575313186255875,1.0408195193456702
frozenset(['mineral water']),"frozenset(['pancakes', 'ground beef'])",0.23836821757099053,0.014531395813891481,0.007465671243834155,0.03131991051454139,2.1553270529318804,0.00400184832485829,1.017331330418454
frozenset(['ground beef']),"frozenset(['pancakes', 'mineral water'])",0.09825356619117451,0.03372883615517931,0.007465671243834155,0.07598371777476255,2.2527820831165766,0.004151692808109965,1.0457295855413111
frozenset(['green tea']),frozenset(['hot dogs']),0.13211571790427942,0.03239568057592321,0.006665777896280496,0.05045408678102927,1.557432530635805,0.002385799299994681,1.0190179389471414
frozenset(['hot dogs']),frozenset(['green tea']),0.03239568057592321,0.13211571790427942,0.006665777896280496,0.20576131687242802,1.5574325306358048,0.002385799299994681,1.0927247696852855
"frozenset(['nan', 'spaghetti'])",frozenset(['oil']),0.17411011865084655,0.023063591521130515,0.005732568990801226,0.032924961715160794,1.427573051013995,0.001716964334542534,1.0101971096384827
"frozenset(['oil', 'nan'])",frozenset(['spaghetti']),0.023063591521130515,0.17411011865084655,0.005732568990801226,0.24855491329479767,1.427573051013995,0.001716964334542534,1.0990688421031043
frozenset(['spaghetti']),"frozenset(['oil', 'nan'])",0.17411011865084655,0.023063591521130515,0.005732568990801226,0.032924961715160794,1.427573051013995,0.001716964334542534,1.0101971096384827
frozenset(['oil']),"frozenset(['nan', 'spaghetti'])",0.023063591521130515,0.17411011865084655,0.005732568990801226,0.24855491329479767,1.427573051013995,0.001716964334542534,1.0990688421031043
